OBJECTID,ID,Reported Date,Reported Hour,Reported Year,Occurred Date,Occurred Hour,Occurred Year,Time of Day,Weekday,Day of Week,Neighbourhood,Sector,Division,Ward,Councillor,Census Tract,x,y
1,1,1/3/2018 5:00:00 AM,2200,2018,1/3/2018 5:00:00 AM,2200,2018,Evening,Wednesday,3,Elmvale - Eastway - Riverview - Riverview Park West,33,East,Ward 18 - Alta Vista,Marty Carr,5050008.00,373561.425200006,5027959.15289946
2,2,1/5/2018 5:00:00 AM,1900,2018,1/5/2018 5:00:00 AM,1900,2018,Evening,Friday,5,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,371531.719700004,5032158.69989946
3,3,1/5/2018 5:00:00 AM,100,2018,1/4/2018 5:00:00 AM,2300,2018,Evening,Thursday,4,West Centertown,22,Central,Ward 14 - Somerset,Ariel Troster,5050042.00,366597.701900001,5029935.56409946
4,4,1/9/2018 5:00:00 AM,2000,2018,1/9/2018 5:00:00 AM,2000,2018,Evening,Tuesday,2,Hunt Club East - Western Community,35,East,Ward 16 - River,Riley Brockington,5050002.05,369457.721100002,5023575.51099946
5,5,1/10/2018 5:00:00 AM,1900,2018,1/10/2018 5:00:00 AM,1900,2018,Evening,Wednesday,3,Rockcliffe - Manor Park,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050059.00,371100.709000003,5034891.60409946
6,6,1/13/2018 5:00:00 AM,2100,2018,1/13/2018 5:00:00 AM,2100,2018,Evening,Saturday,6,Bells Corners West,15,West,Ward 8 - College,Laine Johnson,5050136.02,356507.461600001,5019779.75589946
7,7,1/16/2018 5:00:00 AM,1600,2018,1/16/2018 5:00:00 AM,1600,2018,Afternoon,Tuesday,2,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 16 - River,Riley Brockington,5050001.10,371033.726000004,5026354.53099946
8,8,1/18/2018 5:00:00 AM,600,2018,1/18/2018 5:00:00 AM,500,2018,Night,Thursday,4,Centretown,23,Central,Ward 14 - Somerset,Ariel Troster,5050037.02,368556.709000002,5030905.57099946
9,9,1/18/2018 5:00:00 AM,2300,2018,1/18/2018 5:00:00 AM,2300,2018,Evening,Thursday,4,Hintonburg - Mechanicsville,21,Central,Ward 15 - Kitchissippi,Jeff Leiper,5050046.00,365012.695900002,5030192.56709946
10,10,1/19/2018 5:00:00 AM,2000,2018,1/19/2018 5:00:00 AM,2000,2018,Evening,Friday,5,Riverside South - Leitrim,35,East,Ward 22 - Riverside South-Findlay Creek,Steve Desroches,5050126.07,374399.520900005,5019429.16039946
11,11,1/21/2018 5:00:00 AM,300,2018,1/21/2018 5:00:00 AM,300,2018,Night,Sunday,7,Bells Corners West,15,West,Ward 8 - College,Laine Johnson,5050136.02,357311.651000001,5019333.46789946
12,12,1/24/2018 5:00:00 AM,2300,2018,1/24/2018 5:00:00 AM,2300,2018,Evening,Wednesday,3,Hawthorne Meadows - Sheffield Glen,33,East,Ward 18 - Alta Vista,Marty Carr,5050010.00,373800.548700003,5029100.07909946
13,13,1/30/2018 5:00:00 AM,1600,2018,1/30/2018 5:00:00 AM,1600,2018,Afternoon,Tuesday,2,Ledbury - Heron Gate - Ridgemont - Elmwood,34,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.09,371874.729000006,5026501.53209946
14,14,2/1/2018 5:00:00 AM,1800,2018,2/1/2018 5:00:00 AM,1800,2018,Evening,Thursday,4,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050012.00,371325.717000004,5032137.57809946
15,15,2/4/2018 5:00:00 AM,100,2018,2/4/2018 5:00:00 AM,100,2018,Night,Sunday,7,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050130.01,367007.709000002,5021297.49099946
16,16,2/11/2018 5:00:00 AM,1000,2018,2/5/2018 5:00:00 AM,1300,2018,Afternoon,Monday,1,Cityview - Skyline - Fisher Heights,17,West,Ward 9 - Knoxdale-Merivale,Sean Devine,5050132.00,365289.700000003,5025022.52189946
17,17,2/17/2018 5:00:00 AM,1200,2018,2/17/2018 5:00:00 AM,1200,2018,Afternoon,Saturday,6,Vanier South,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050102.00,370514.991200004,5033312.57299946
18,18,3/2/2018 5:00:00 AM,2200,2018,3/2/2018 5:00:00 AM,2200,2018,Evening,Friday,5,Emerald Woods - Sawmill Creek,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050123.01,371646.732100004,5023351.50899946
19,19,3/3/2018 5:00:00 AM,200,2018,3/3/2018 5:00:00 AM,100,2018,Night,Saturday,6,Overbrook - McArthur,25,Central,Ward 13 - Rideau-Rockcliffe,Rawlson King,5050013.00,370994.820300003,5031848.36109946
20,20,3/3/2018 5:00:00 AM,1900,2018,3/3/2018 5:00:00 AM,200,2018,Night,Saturday,6,Braemar Park - Bel Air Heights - Copeland Park,17,West,Ward 8 - College,Laine Johnson,5050024.00,362458.600800002,5024005.90749946
21,21,3/6/2018 5:00:00 AM,600,2018,3/6/2018 5:00:00 AM,300,2018,Night,Tuesday,2,Bridlewood - Emerald Meadows,13,West,Ward 23 - Kanata South,Allan Hubley,5050161.05,355949.749000001,5015816.02409946
22,22,3/12/2018 5:00:00 AM,2000,2018,3/12/2018 5:00:00 AM,2000,2018,Evening,Monday,1,Carlingwood West - Glabar Park - McKellar Heights,14,West,Ward 7 - Bay,Theresa Kavanagh,5050031.00,361217.822700003,5025952.93129946
23,23,3/12/2018 5:00:00 AM,1100,2018,3/9/2018 5:00:00 AM,1200,2018,Afternoon,Friday,5,Richmond,12,West,Ward 21 - Rideau-Jock,David Brown,5050141.14,361949.6581,5008824.37289946
24,24,3/22/2018 5:00:00 AM,100,2018,3/22/2018 5:00:00 AM,100,2018,Night,Thursday,4,Hunt Club Park,33,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.08,374469.741100005,5026538.52899946
25,25,3/24/2018 5:00:00 AM,1700,2018,3/24/2018 5:00:00 AM,1500,2018,Afternoon,Saturday,6,West Centertown,22,Central,Ward 14 - Somerset,Ariel Troster,5050041.00,366650.701900002,5030124.56599946
26,26,3/30/2018 5:00:00 AM,2100,2018,3/30/2018 5:00:00 AM,2100,2018,Evening,Friday,5,Katimavik - Hazeldean,13,West,Ward 4 - Kanata North,Cathy Curry,5050160.06,352851.394000001,5020452.58109946
27,27,3/31/2018 5:00:00 AM,2000,2018,3/31/2018 5:00:00 AM,2000,2018,Evening,Saturday,6,Carleton Heights - Rideauview,17,West,Ward 16 - River,Riley Brockington,5050020.01,367041.707900002,5025860.52899946
28,28,4/10/2018 5:00:00 AM,0,2018,4/10/2018 5:00:00 AM,0,2018,Night,Tuesday,2,Vanier North,25,Central,Ward 12 - Rideau-Vanier,Stéphanie Plante,5050102.00,370155.709000002,5033390.59099946
29,29,4/15/2018 5:00:00 AM,100,2018,4/15/2018 5:00:00 AM,100,2018,Night,Sunday,7,South Keys - Heron Gate - Greenboro West,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.04,371608.731000004,5024096.51399946
30,30,4/16/2018 5:00:00 AM,1200,2018,4/15/2018 5:00:00 AM,2300,2018,Evening,Sunday,7,Greenboro East,35,East,Ward 10 - Gloucester-Southgate,Jessica Bradley,5050001.06,371759.721100003,5024591.73329946
